State	City	Population	Violent Crime	Murder and Nonnegligent Manslaughter	Rape	Robbery	Aggravated Assault	Property Crime	Burglary	Larceny-Theft	Motor Vehicle Theft	Arson1
New Mexico	Albuquerque	559721	965.8	7.7	72.2	301.2	584.8	6073.2	1071.2	4076.7	925.3	15.9
California	Anaheim	349471	363.7	5.2	36.9	125.6	196.0	2872.3	422.4	1972.4	477.6	8.0
Alaska	Anchorage	301239	1070.9	8.6	171.6	206.1	684.5	3917.5	559.4	2975.0	383.1	35.2
Texas	Arlington	387565	502.1	2.1	53.7	136.5	309.9	3443.6	559.9	2657.1	226.5	7.5
Georgia	Atlanta	464710	1119.6	20.2	36.6	429.3	633.5	5499.3	1028.8	3549.1	921.4	10.8
Colorado	Aurora	360237	460.8	6.7	97.7	124.1	232.3	2936.7	467.2	2119.4	350.0	17.8
Texas	Austin	938728	372.5	2.5	51.9	99.0	219.2	3771.0	532.6	2990.0	248.3	9.7
California	Bakersfield	373887	484.1	5.9	19.0	175.2	284.0	4161.4	1036.9	2484.2	640.3	90.7
Maryland	Baltimore	621252	1535.9	55.4	46.2	694.2	740.1	4980.4	1248.6	2842.3	889.5	41.9
Massachusetts	Boston	665258	706.8	5.7	36.1	233.1	431.9	2316.1	354.3	1769.5	192.3	N/A
New York	Buffalo	258096	1118.6	15.9	67.0	400.2	635.4	4330.2	1076.0	2875.3	378.9	67.0
Arizona	Chandler	258875	189.3	0.4	30.5	44.0	114.3	2083.2	297.4	1686.9	98.9	17.4
North Carolina	Charlotte-Mecklenburg	877817	677.6	6.9	24.6	221.8	424.2	3767.9	769.5	2744.4	253.9	24.6
Illinois	Chicago	2728695	903.8	17.5	52.5	353.6	480.2	2946.3	482.0	2089.7	374.6	19.6
California	Chula Vista	265215	265.8	2.3	23.8	90.1	149.7	1741.6	267.7	1166.2	307.7	10.2
Ohio	Cincinnati	298478	925.0	22.1	79.1	423.1	400.7	5510.0	1478.5	3642.8	388.6	147.4
Ohio	Cleveland*	388655	1334.3	16.2	124.0	769.3	424.8	5434.4	1787.7	2659.2	987.5	78.2
Colorado	Colorado Springs	452410	438.3	5.5	75.4	83.1	274.3	3648.0	533.6	2732.7	381.7	27.9
Ohio	Columbus	847745	546.3	9.1	95.1	264.2	177.9	3934.3	851.6	2715.6	367.2	47.8
Texas	Corpus Christi	324326	645.0	5.2	86.9	121.5	431.4	3465.6	674.6	2632.8	158.2	18.2
Texas	Dallas	1301977	694.2	10.4	60.1	320.8	302.8	3440.2	854.2	2002.8	583.3	26.8
Colorado	Denver	682418	673.9	7.8	80.3	180.2	405.6	3529.9	697.8	2192.5	639.6	16.4
Michigan	Detroit	673225	1759.6	43.8	78.7	513.5	1123.5	4093.6	1161.6	2157.2	774.8	125.1
North Carolina	Durham	257911	847.2	13.2	28.7	286.1	519.2	4115.8	1234.5	2644.7	236.5	12.0
Texas	El Paso	686077	366.6	2.5	46.9	59.8	257.4	1914.2	206.8	1591.1	116.3	8.3
Indiana	Fort Wayne	259712	378.9	9.6	37.3	171.7	160.2	3058.4	569.9	2360.7	127.8	18.9
Texas	Fort Worth	829731	525.4	6.7	62.2	118.2	338.2	3585.7	723.7	2589.9	272.1	17.1
California	Fresno	520837	551.2	7.5	32.1	194.3	317.4	4148.3	850.4	2723.3	574.7	49.0
North Carolina	Greensboro	285950	597.0	9.1	25.2	185.3	377.3	3568.5	828.5	2551.5	188.5	34.6
Nevada	Henderson	282554	168.5	1.4	34.7	63.7	68.7	1893.1	479.9	1225.6	187.6	7.1
Hawaii	Honolulu	999307	243.9	1.5	31.8	89.7	120.9	3110.7	428.7	2294.6	387.4	23.1
Texas	Houston	2275221	966.7	13.3	43.3	451.7	458.3	4397.5	872.8	2928.7	596.0	29.5
Indiana	Indianapolis	863675	1288.0	17.1	78.4	440.2	752.3	4790.8	1283.5	2929.5	577.9	N/A
California	Irvine	258198	55.8	0.8	10.5	22.1	22.5	1498.1	202.6	1217.7	77.8	3.1
Florida	Jacksonville	867258	648.3	11.2	54.3	161.2	421.6	3673.0	701.3	2704.6	267.0	8.2
New Jersey	Jersey City	265159	521.6	10.2	36.6	207.0	267.8	1594.9	368.1	998.6	228.2	23.4
Missouri	Kansas City	473373	1417.3	23.0	77.3	359.8	957.2	4441.3	1029.0	2587.6	824.7	41.8
Texas	Laredo	256280	379.3	3.1	51.9	63.2	261.0	3370.9	405.8	2843.8	121.4	34.3
Nevada	Las Vegas Metropolitan Police Department	1562134	920.7	8.1	70.9	320.7	521.0	2995.3	952.3	1537.0	506.0	8.6
Kentucky	Lexington	314077	332.4	4.8	51.9	162.7	113.0	3949.7	797.6	2834.0	318.1	15.0
Nebraska	Lincoln	276585	370.6	0.4	69.8	77.4	223.1	3265.9	480.1	2655.2	130.5	32.9
California	Long Beach	476318	580.7	7.6	37.2	221.3	314.7	3010.0	649.6	1766.3	594.1	14.5
California	Los Angeles	3962726	634.8	7.1	55.7	225.9	346.0	2359.6	407.8	1544.2	407.6	28.5
Kentucky	Louisville Metro	680550	631.8	11.9	30.1	227.0	362.8	4166.0	922.3	2769.8	473.9	N/A
Tennessee	Memphis	657936	1740.1	20.5	80.6	475.9	1163.2	5630.8	1561.2	3655.2	414.3	45.9
Arizona	Mesa	471034	418.7	3.4	51.2	86.6	277.5	2527.4	471.1	1881.2	175.1	17.0
Florida	Miami	437969	1021.3	17.1	18.3	383.8	602.1	4367.4	709.9	3132.9	524.7	20.8
Wisconsin	Milwaukee	600400	1596.1	24.2	72.6	624.4	874.9	4264.2	912.9	2122.1	1229.2	37.1
Minnesota	Minneapolis	413479	1062.9	11.4	98.4	458.5	494.6	4193.9	859.8	2918.9	415.3	28.1
Alabama	Mobile2	250346	610.8	9.6	46.3	160.6	394.3	4311.6	882.0	3186.4	243.3	N/A
Tennessee	Nashville Metropolitan	658029	1101.0	10.9	77.0	280.7	732.3	3805.8	779.9	2805.8	220.1	8.1
Louisiana	New Orleans	393447	949.6	41.7	104.0	380.5	423.4	3874.2	736.6	2497.9	639.7	9.1
New York	New York	8550861	585.8	4.1	26.2	198.2	357.2	1518.7	164.9	1267.4	86.4	N/A
New Jersey	Newark*	279110	1077.7	33.3	17.6	688.6	338.2	2851.2	622.0	1365.1	864.2	14.0
California	Oakland	419481	1442.5	20.3	67.9	784.3	570.0	5856.8	794.6	3539.1	1523.1	42.7
Oklahoma	Oklahoma City	630621	765.6	11.6	76.1	189.0	488.9	3956.1	923.4	2573.3	459.4	14.7
Nebraska	Omaha	452252	515.0	10.6	38.5	144.8	321.1	3595.6	477.6	2555.7	562.3	17.9
Florida	Orlando	268438	940.6	11.9	67.8	194.5	666.4	6015.5	1267.0	4309.0	439.6	14.5
Pennsylvania	Philadelphia	1567810	1029.0	17.9	84.3	431.5	495.3	3147.4	515.6	2310.7	321.1	21.0
Arizona	Phoenix	1559744	593.8	7.2	65.1	193.6	327.8	3491.3	820.5	2198.3	472.5	N/A
Pennsylvania	Pittsburgh	306870	706.2	18.6	26.7	279.6	381.3	3224.5	715.9	2312.7	195.8	56.0
Texas	Plano	282968	153.0	1.4	32.2	41.0	78.5	1799.1	260.1	1442.9	96.1	6.7
Oregon	Portland*	615672	472.8	4.2	42.6	137.6	288.5	5234.8	673.4	4013.0	548.3	27.0
North Carolina	Raleigh**	428993	392.3	2.8	18.4	141.0	230.1	3063.0	735.9	2162.7	164.3	12.6
California	Riverside	323064	446.0	3.1	42.4	161.0	239.6	3259.7	505.5	2211.3	542.9	22.0
California	Sacramento	489717	737.4	8.8	21.4	239.7	467.4	3369.5	758.2	2014.4	596.9	28.6
Texas	San Antonio	1463586	587.2	6.4	71.7	135.7	373.4	5029.5	794.8	3812.8	422.0	17.8
California	San Diego	1400467	398.6	2.6	40.4	98.4	257.1	2082.0	366.2	1351.9	363.9	12.4
California	San Francisco	863782	776.8	6.1	39.8	417.9	312.9	6138.0	600.4	4737.1	800.5	31.5
California	San Jose	1031458	329.6	2.9	36.4	110.5	179.8	2427.1	474.7	1273.7	678.7	9.0
California	Santa Ana	337304	482.1	3.6	45.7	155.1	277.8	2155.3	269.5	1332.3	553.5	11.0
Washington	Seattle	683700	598.7	3.4	21.1	224.1	350.2	5522.0	1122.9	3831.9	567.2	13.5
Missouri	St. Louis	317095	1817.1	59.3	82.9	564.5	1110.4	6316.1	1325.2	3998.8	992.1	70.3
Minnesota	St. Paul	300721	703.3	5.3	67.8	237.4	392.7	3282.1	706.6	1994.2	581.3	39.9
Florida	St. Petersburg	255821	741.9	5.5	53.2	224.0	459.3	5622.7	906.5	4120.9	595.3	25.0
California	Stockton	304890	1352.0	16.1	44.3	375.2	916.4	4263.2	948.2	2662.9	652.0	33.8
Florida	Tampa	364383	630.7	9.3	21.1	184.1	416.0	2295.9	503.0	1629.3	163.6	14.8
Ohio	Toledo	279552	1128.9	8.6	81.6	322.7	716.1	4475.0	1476.3	2676.8	321.9	N/A
Arizona	Tucson	529675	655.5	5.9	79.7	199.9	370.0	6642.8	691.7	5586.8	364.2	22.1
Oklahoma	Tulsa	401520	903.6	13.7	90.9	212.7	586.3	5203.2	1372.8	3170.2	660.2	43.3
Virginia	Virginia Beach	452797	138.3	4.2	22.7	59.6	51.7	2205.6	211.1	1898.4	96.1	21.0
District Of Columbia	Washington	672228	1202.6	24.1	73.5	506.4	598.6	4516.2	442.0	3599.1	475.1	N/A
Kansas	Wichita	389824	984.8	6.9	89.5	188.0	700.3	5041.2	892.7	3623.9	524.6	33.1
